number,comment,label
0,يعني الاجانب مسموح لهم يدخلون السعوديه بكبرها بجرعة وحده واحنا ماندخل بقالة الا بجرعتين افتحو لنا الاماكن العامة زينا زيهم وجع,anger
0,اي والله ماننجبر علي اللقاح جسمنا حرين فيه وثانيا الله خلق لنا جهاز مناعي يفوق قدرة اللقاح في مواجهه المرض,anger
1467185614709788675,وين نتعالج نحن الشعب السعودي بالضبط اغلب المستشفيات الحكوميه لا تستقبلنا واذا استقبلونا عالجونا اطباء غير اكفاء نريد حلا,anger
1466032298801963014,والله مايفكون عنكم ..حتى كل واحد ياخذ 11 جرعه ...الله يفرجها .. هل هذا تطمين للمجتمع ام اثاره للقلق ؟ الحل هو معالجة المصاب بالعقاقير ورفع مناعة الناس في فترة الشتاء بالفيتامينات ...والمكملات الغذائيه والباقي يقوم به الجهاز المناعي الذي خلقه احسن الخالقين ..,anger
1466031831350980616,القلق الحقيقي تناقضاتكم وأكاذيبكم.. ومعروف وطبيعي أن حملة اللقاحات ستُتنج متحوّرات تقاوم اللقاحات وبالتالي لا فائدة من اللقاح ولا نهاية لهذا الڤايروس.. الحل هو التعايش وعدم التهويل والكذب على البُسطاء؛ فمنذ أن خلق الله الكون وهو يعجّ بالڤايروسات! فكّونا عاد🤬,anger
0,خلونا نعيش حياتنا عادية وكفانا من نقل الاخبار الكاذبة، الصحافة هي التي تضخم الامور وتحسسنا انها نهاية العالم,anger
0,كافي كذب. لا متحور ولا شي. الله ينتقم منكم. دمرتوا العالم وظلت تلقح وبدت الناس تموت باعداد كبيره,anger
0,مين المجنون الي يروح لمصدر الوباء,anger
0,رئيس الصين يخفي خطر الفيروس في وهان شيء واضح يظن الكل قليلو الخبره,anger
1459326115793850376,لو في وباء كان وقفو موسم الرياض كل هذا لصالح اللقاحات واستمرارها,anger
0,وين لقاحكم,anger
0,لازم الشعوب تتحرك الامر اصبح سخيف,anger
0,المسرحية مستمرة,anger
1454792706690015232,على ذا المستوى مابين ٤٠- ٥٠ حالك يومياً الى أن ينتهي موسم الرياض !!,anger
1454798919670579206,مستمرون في التجارب على الكبار وحان دور التجارب على الصغار,anger
0,الحين ﷲ سبحانه خلقنا جهاز المناعي وظيفته انه يقوي المناعه ليش انت تروح تاخذ لقاح متحور خطير وتقتل نفسك،،، تبي تقوي المناعه خذ أشياء طبيعيه احسن من انك تاخذ لقاح ماتدري بعد سنه سنتين وش بيصيرلك!!!!,anger
0,ي كثر الي اعرفهم اخذوه وماتوا ولا تم الإعلان عنهم والي نجو بعد فترة الله يكون بعونهم قال مافي اعراض قال✋,anger
0,لا لتخويف الناس ليس كل من لديه هذه الأعراض مصاب بكورونا لالتخويف الناس ونشر الرعب في صفوفهم دعونا من هذه الفديوهات لنشر الوساوس في صفوف الناس الله يهديكم,anger
0,اجل اذا انتشر كورونا لاتزعجونا,anger
0,تري زودتو امها اقسم بالله!!! اختي كانت بتموت بعد الجرعه الثانية! حسبي الله عليكم,anger
1467921647630012423,مثلك عندما تغرد عن الجائحة فيروس كورونا وتحلل من راسك دون اي دراية علمية .,anger
1468638433484709891,تكلمت سابقا عن أن هناك فيروس كورونا المتحور اوميكرون وأنه دخل البلاد بواسطة وافد واكثر,anger
1468590957771866119,على فكرة المصاب سائح اوروبي ! ماقتلكم ينشرونه عن طريق جنودهم !,anger
1466436918804205581,هذي جريمه بحق البيئه والبشر !!,anger
1466357146153541636,(اي شخص مسؤل عن هذا العدد من الوفيات لا يجب ان يظل رئيساً),anger
1468435882608898053,حتى الاطفالالله يرينا فيكم عجائب قدرته,anger
1468444650059010050,تحول كبير من الصحة العالمية الى التجارة في الأطفال,anger
1468555961384284163,التطعيم الإجباري ضد فيروس كورونا غير مقبول تحت أي ظرف,anger
1274671909926559745,معلمون في مدرسة بريطانية طلبوا من طلابهم واجب غريب وسط ذعر تفشي فيروس كورونا،,anger
1410676000850157571,والله انا اقول قمة الغباء من يعتقد ان الدوله تريد ان تعطيك لقاح او دواء مميت او مضر !!!,anger
1465315496765632520,هذا اللي يدورون عليه. الموضوع تجارة. زمره فاسده من شركات اللقاحات مع منظمة الصحه الفاسده,anger
1467460264371048452,تخويف تخويف الناس عايشه ومستانسه كورونا فالاعلام فقط,anger
1467529019474259972,في مليون مرض غير كورونا عجبكم كورونا عشان في فلوس الله ياخذكم,anger
